Timestamp,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : CLOSE,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : HIGH,PPXDK00 |FO 380 CST 3.5%S FOB SPORE CARGO(USD/MT) : LOW
12/10/2024,423.84,423.86,423.82
12/9/2024,425.82,425.84,425.8
12/6/2024,427.89,427.91,427.87
12/5/2024,429.6,429.62,429.58
12/4/2024,441.07,441.09,441.05
12/3/2024,440.94,440.96,440.92
12/2/2024,450.15,450.17,450.13
11/29/2024,452.34,452.36,452.32
11/28/2024,447.49,447.51,447.47
11/27/2024,447.36,447.38,447.34
11/26/2024,444.48,444.5,444.46
11/25/2024,445.65,445.67,445.63
11/22/2024,452.32,452.34,452.3
11/21/2024,439.27,439.29,439.25
11/20/2024,441.6,441.62,441.58
11/19/2024,435.43,435.45,435.41
11/18/2024,429.09,429.11,429.07
11/15/2024,434.93,434.95,434.91
11/14/2024,445.58,445.6,445.56
11/13/2024,440.43,440.45,440.41
11/12/2024,435.37,435.39,435.35
11/11/2024,445.12,445.14,445.1
11/8/2024,444.56,444.58,444.54
11/7/2024,442.35,442.37,442.33
11/6/2024,442.8,442.82,442.78
11/5/2024,448.15,448.17,448.13
11/4/2024,443.75,443.77,443.73
11/1/2024,452.47,452.49,452.45
10/30/2024,445.41,445.43,445.39
10/29/2024,441.77,441.79,441.75
10/28/2024,444.75,444.77,444.73
10/25/2024,455.53,455.55,455.51
10/24/2024,461.83,461.85,461.81
10/23/2024,459.13,459.15,459.11
10/22/2024,441.27,441.29,441.25
10/21/2024,435.08,435.1,435.06
10/18/2024,439.94,439.96,439.92
10/17/2024,436.27,436.29,436.25
10/16/2024,433.83,433.85,433.81
10/15/2024,433.32,433.34,433.3
10/14/2024,454.3,454.32,454.28
10/11/2024,454.82,454.84,454.8
10/10/2024,446.51,446.53,446.49
10/9/2024,443.44,443.46,443.42
10/8/2024,444.45,444.47,444.43
10/7/2024,444.43,444.45,444.41
10/4/2024,444.7,444.72,444.68
10/3/2024,416.57,416.59,416.55
10/2/2024,425.19,425.21,425.17
10/1/2024,390.33,390.35,390.31
9/30/2024,412.36,412.38,412.34
9/27/2024,408.1,408.12,408.08
9/26/2024,407.06,407.08,407.04
9/25/2024,422.39,422.41,422.37
9/24/2024,426.64,426.66,426.62
9/23/2024,434.08,434.1,434.06
9/20/2024,437.28,437.3,437.26
9/19/2024,430.12,430.14,430.1
9/18/2024,422.25,422.27,422.23
9/17/2024,421.59,421.61,421.57
9/16/2024,415.29,415.31,415.27
9/13/2024,420.4,420.42,420.38
9/12/2024,417.19,417.21,417.17
9/11/2024,411.67,411.69,411.65
9/10/2024,409.08,409.1,409.06
9/9/2024,408.63,408.65,408.61
9/6/2024,406.21,406.23,406.19
9/5/2024,409.27,409.29,409.25
9/4/2024,414.08,414.1,414.06
9/3/2024,429.24,429.26,429.22
9/2/2024,431.69,431.71,431.67
8/30/2024,444.19,444.21,444.17
8/29/2024,438.01,438.03,437.99
8/28/2024,440.7,440.72,440.68
8/27/2024,454.61,454.63,454.59
8/26/2024,450.87,450.89,450.85
8/23/2024,440.43,440.45,440.41
8/22/2024,433.02,433.04,433
8/21/2024,438.5,438.52,438.48
8/20/2024,434.85,434.87,434.83
8/19/2024,447.19,447.21,447.17
8/16/2024,457.6,457.62,457.58
8/15/2024,455.94,455.96,455.92
8/14/2024,460.67,460.69,460.65
8/13/2024,467.31,467.33,467.29
8/12/2024,465.46,465.48,465.44
8/8/2024,459.89,459.91,459.87
8/7/2024,449.59,449.61,449.57
8/6/2024,445.39,445.41,445.37
8/5/2024,442.26,442.28,442.24
8/2/2024,465.83,465.85,465.81
8/1/2024,475.5,475.52,475.48
7/31/2024,474.2,474.22,474.18
7/30/2024,475.54,475.56,475.52
7/29/2024,481.96,481.98,481.94
7/26/2024,488.08,488.1,488.06
7/25/2024,482.34,482.36,482.32
7/24/2024,485.71,485.73,485.69
7/23/2024,488.9,488.92,488.88
7/22/2024,483.94,483.96,483.92
7/19/2024,502.9,502.92,502.88
7/18/2024,503.24,503.26,503.22
7/17/2024,503.2,503.22,503.18
7/16/2024,503.89,503.91,503.87
7/15/2024,506.66,506.68,506.64
7/12/2024,513.9,513.92,513.88
7/11/2024,513.2,513.22,513.18
7/10/2024,509.01,509.03,508.99
7/9/2024,514.38,514.4,514.36
7/8/2024,519.62,519.64,519.6
7/5/2024,526.09,526.11,526.07
7/4/2024,516.96,516.98,516.94
7/3/2024,510.61,510.63,510.59
7/2/2024,511.7,511.72,511.68
7/1/2024,506.62,506.64,506.6
6/28/2024,510.66,510.68,510.64
6/27/2024,507.74,507.76,507.72
6/26/2024,503.67,503.69,503.65
6/25/2024,508.6,508.62,508.58
6/24/2024,509.26,509.28,509.24
6/21/2024,510.91,510.93,510.89
6/20/2024,515.79,515.81,515.77
6/19/2024,515.19,515.21,515.17
6/18/2024,502.1,502.12,502.08
6/14/2024,497.18,497.2,497.16
6/13/2024,497.8,497.82,497.78
6/12/2024,501.88,501.9,501.86
6/11/2024,497.66,497.68,497.64
6/10/2024,482.33,482.35,482.31
6/7/2024,481.64,481.66,481.62
6/6/2024,481.12,481.14,481.1
6/5/2024,483.41,483.43,483.39
6/4/2024,494.22,494.24,494.2
6/3/2024,505.57,505.59,505.55
5/31/2024,504.25,504.27,504.23
5/30/2024,509.63,509.65,509.61
5/29/2024,517.6,517.62,517.58
5/28/2024,511.45,511.47,511.43
5/27/2024,499.88,499.9,499.86
5/24/2024,493.25,493.27,493.23
5/23/2024,495.86,495.88,495.84
5/21/2024,512.67,512.69,512.65
5/20/2024,507.99,508.01,507.97
5/17/2024,497.44,497.46,497.42
5/16/2024,493.28,493.3,493.26
5/15/2024,494.47,494.49,494.45
5/14/2024,492.34,492.36,492.32
5/13/2024,494.43,494.45,494.41
5/10/2024,506.45,506.47,506.43
5/9/2024,505.28,505.3,505.26
5/8/2024,497.7,497.72,497.68
5/7/2024,507.15,507.17,507.13
5/6/2024,503.06,503.08,503.04
5/3/2024,500.15,500.17,500.13
5/2/2024,509.44,509.46,509.42
4/30/2024,515.15,515.17,515.13
4/29/2024,507.52,507.54,507.5
4/26/2024,509.4,509.42,509.38
4/25/2024,506,506.02,505.98
4/24/2024,496.78,496.8,496.76
4/23/2024,497.75,497.77,497.73
4/22/2024,489.36,489.38,489.34
4/19/2024,499.21,499.23,499.19
4/18/2024,495.32,495.34,495.3
4/17/2024,500.5,500.52,500.48
4/16/2024,500.33,500.35,500.31
4/15/2024,490.35,490.37,490.33
4/12/2024,492.18,492.2,492.16
4/11/2024,489.81,489.83,489.79
4/9/2024,491.9,491.92,491.88
4/8/2024,489.48,489.5,489.46
4/5/2024,491.82,491.84,491.8
4/4/2024,480.71,480.73,480.69
4/3/2024,481.11,481.13,481.09
4/2/2024,479.42,479.44,479.4
4/1/2024,475.41,475.43,475.39
3/28/2024,472.31,472.33,472.29
3/27/2024,470.97,470.99,470.95
3/26/2024,476.65,476.67,476.63
3/25/2024,473.14,473.16,473.12
3/22/2024,470.15,470.17,470.13
3/21/2024,471.87,471.89,471.85
3/20/2024,475.63,475.65,475.61
3/19/2024,475.48,475.5,475.46
3/18/2024,476.07,476.09,476.05
3/15/2024,466.4,466.42,466.38
3/14/2024,464.52,464.54,464.5
3/13/2024,452.02,452.04,452
3/12/2024,450.51,450.53,450.49
3/11/2024,445.17,445.19,445.15
3/8/2024,457.22,457.24,457.2
3/7/2024,448.6,448.62,448.58
3/6/2024,443.7,443.72,443.68
3/5/2024,436.46,436.48,436.44
3/4/2024,438.46,438.48,438.44
3/1/2024,427.42,427.44,427.4
2/29/2024,422.07,422.09,422.05
2/28/2024,421.71,421.73,421.69
2/27/2024,426.66,426.68,426.64
2/26/2024,420.94,420.96,420.92
2/23/2024,425.38,425.4,425.36
2/22/2024,432.43,432.45,432.41
2/21/2024,426.59,426.61,426.57
2/20/2024,428.7,428.72,428.68
