Trade_#,Trade_Type,Direction,Entry_Date,Entry_Price,Exit_Date,Exit_Price,Units,Entry_Notional,Conviction,Realized_PnL,Unrealized_PnL,PnL_Pct
93,NEW,SHORT,2021-10-05,82.55999755859375,2021-10-20,85.81999969482422,29643.896925696605,2447400.0578127163,0.530241,-55027.536432482135,0.0,-2.2484079076822936
94,ADD_ON,SHORT,2021-10-08,82.38999938964844,2021-10-20,85.81999969482422,6204.767196138284,511210.76550274383,0.3587402,-11494.103276486878,0.0,-2.2484079076822936
95,ADD_ON,SHORT,2021-10-11,83.6500015258789,2021-10-20,85.81999969482422,78.94037451514305,6603.362448645168,0.36497876,-148.47052346826106,0.0,-2.248407907682293
96,REDUCE,SHORT,2021-10-13,83.18000030517578,2021-10-20,85.81999969482422,7575.401974427681,630121.9385447238,0.53342855,-14167.71149428053,0.0,-2.248407907682293
97,ADD_ON,SHORT,2021-10-14,84.0,2021-10-20,85.81999969482422,2025.2952420719012,170124.8003340397,0.49404442,-3825.0994636392606,0.0,-2.248407907682293
98,REDUCE,SHORT,2021-10-15,84.86000061035156,2021-10-20,85.81999969482422,7210.5622392912555,611888.3160272338,0.66728497,-13757.745283740349,0.0,-2.2484079076822936
99,NEW,LONG,2021-10-20,85.81999969482422,2021-11-08,83.43000030517578,27371.029832836037,2348981.7719010133,0.4724195,-32593.076698529658,0.0,-1.3875406394555512
100,REDUCE,LONG,2021-10-21,84.61000061035156,2021-11-08,83.43000030517578,3466.604232642181,293309.38623970223,0.38838565,-4069.786933413517,0.0,-1.3875406394555514
101,ADD_ON,LONG,2021-10-22,85.52999877929688,2021-11-08,83.43000030517578,3151.4378311898654,269542.4738546992,0.4683919,-3740.011365327805,0.0,-1.3875406394555514
102,REDUCE,LONG,2021-10-25,85.98999786376953,2021-11-08,83.43000030517578,4876.837833514561,419359.2748858675,0.356722,-5818.780364367529,0.0,-1.3875406394555514
103,REDUCE,LONG,2021-10-26,86.4000015258789,2021-11-08,83.43000030517578,898.3355602678203,77616.19377789095,0.3379172,-1076.9562314668078,0.0,-1.3875406394555512
104,ADD_ON,LONG,2021-10-27,84.58000183105469,2021-11-08,83.43000030517578,22531.700617323364,1905731.2794699862,0.8502809,-26442.795981462306,0.0,-1.3875406394555514
105,REDUCE,LONG,2021-10-28,84.31999969482422,2021-11-08,83.43000030517578,2591.4870359185225,218514.18607779074,0.7871876,-3031.973134804871,0.0,-1.3875406394555514
106,ADD_ON,LONG,2021-10-29,84.37999725341797,2021-11-08,83.43000030517578,1293.2573105362826,109125.04831101424,0.81781363,-1514.1543931408262,0.0,-1.3875406394555514
107,REDUCE,LONG,2021-11-01,84.70999908447266,2021-11-08,83.43000030517578,2075.9107955735235,175850.40159248008,0.77340496,-2439.995786741453,0.0,-1.3875406394555512
108,REDUCE,LONG,2021-11-02,84.72000122070312,2021-11-08,83.43000030517578,321.85777012489416,27267.790677873818,0.7660328,-378.3516771371716,0.0,-1.3875406394555514
109,REDUCE,LONG,2021-11-04,80.54000091552734,2021-11-08,83.43000030517578,3697.1876032163127,297771.4929479182,0.6382965,-4131.7004773658855,0.0,-1.3875406394555512
110,NEW,SHORT,2021-11-08,83.43000030517578,2021-11-26,72.72000122070312,27815.083795074974,2320612.449511595,0.47018242,206109.20256085222,0.0,8.881672706885233
111,REDUCE,SHORT,2021-11-09,84.77999877929688,2021-11-26,72.72000122070312,3742.908818788648,317323.8050879211,0.57313347,28183.661788943587,0.0,8.881672706885235
